postcode,courier_company_id,region,local_region,metro,city,state,state_code,branch_location,routing_code,rto_routing_code,cod,cutoff_time,pickup,delivery,sr_region,blocked,block_reason,sr_metro,sr_local_region,ros,suppress_pickup,suppress_delivery,first_mile_pickup,multi_delivery,blocked_pickup,blocked_delivery,delay_pickup,delay_delivery,pickup_supress_date_from,pickup_supress_date_to,delivery_supress_date_from,delivery_supress_date_to,suppress_remark,supress_on,pickup_delay_date_from,pickup_delay_date_to,pickup_delay_days,delivery_delay_date_from,delivery_delay_date_to,delivery_delay_days,delay_remark,multi_delivery
110020,196,1,1,1,DELHI,DELHI,DL,"OKHLA BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110021,196,1,1,1,DELHI,DELHI,DL,"MAHIPALPUR BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110022,196,1,1,1,DELHI,DELHI,DL,"MAHIPALPUR BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110023,196,1,1,1,DELHI,DELHI,DL,"KHIRKI BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110024,196,1,1,1,DELHI,DELHI,DL,"ASHRAM BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110025,196,1,1,1,DELHI,DELHI,DL,"OKHLA BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110026,196,1,1,1,DELHI,DELHI,DL,"MEERBAGH BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110027,196,1,1,1,DELHI,DELHI,DL,"NARAINA CITY BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110028,196,1,1,1,DELHI,DELHI,DL,"NARAINA CITY BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110029,196,1,1,1,DELHI,DELHI,DL,"KHIRKI BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
